Sample	Unique Reads	Duplicate Reads
KD_REP1_T0_1	246018.0	293665.0
KD_REP1_T0_2	359937.0	179746.0
KD_REP1_T1_1	35105.0	16529.0
KD_REP1_T1_2	46366.0	5268.0
KD_REP2_T0_1	246238.0	293579.0
KD_REP2_T0_2	360216.0	179601.0
KD_REP2_T1_1	21620.0	6231.0
KD_REP2_T1_2	25195.0	2656.0
WT_REP1_T0_1	267401.0	346249.0
WT_REP1_T0_2	391734.0	221916.0
WT_REP1_T1_1	49705.0	33989.0
WT_REP1_T1_2	73257.0	10437.0
WT_REP2_T0_1	267487.0	346174.0
WT_REP2_T0_2	391759.0	221902.0
WT_REP2_T1_1	53171.0	39140.0
WT_REP2_T1_2	81108.0	11203.0
