Sample	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	>10	>50	>100	>500	>1k	>5k	>10k+	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0
KD_REP1_T0_1										0.4589998837974978	0.22853158771352208	0.2188480458612542	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP1_T0_2										0.0832784599295038	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP1_T1_1										19.207807852625045	0.06830610632434671	0.18598564819835706	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP1_T1_2										0.10543980857164655	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP2_T0_1										0.3805967469749739	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP2_T0_2										0.0	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP2_T1_1										19.107204788008787	0.07876528422610306	0.18570074069307121	0.0	0.0	0.0	0.0																																																																																																																																							
KD_REP2_T1_2										0.11890950490781652	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP1_T0_1										1.1386718283270008	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP1_T0_2										0.016727602934499486	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP1_T1_1										23.18369307116145	0.08159511946205864	0.11684421106966797	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP1_T1_2										0.17566985965827686	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP2_T0_1										1.6162754167975648	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP2_T0_2										0.010832945152798692	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP2_T1_1										23.219809966429388	0.07364631213971011	0.11740953088348462	0.0	0.0	0.0	0.0																																																																																																																																							
WT_REP2_T1_2										0.17249515117432623	0.0	0.0	0.0	0.0	0.0	0.0																																																																																																																																							
