Module	Section	Sample Name	Source
Samtools	stats	WT_REP2.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2.srt.bam.stats
Samtools	stats	WT_REP1.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1.srt.bam.stats
Samtools	stats	KD_REP1.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1.srt.bam.stats
Samtools	stats	KD_REP2.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2.srt.bam.stats
Samtools	flagstat	KD_REP2.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2.srt.bam.flagstat
Samtools	flagstat	WT_REP2.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2.srt.bam.flagstat
Samtools	flagstat	WT_REP1.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1.srt.bam.flagstat
Samtools	flagstat	KD_REP1.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1.srt.bam.flagstat
Samtools	idxstats	WT_REP1.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1.srt.bam.idxstats
Samtools	idxstats	KD_REP1.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1.srt.bam.idxstats
Samtools	idxstats	KD_REP2.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2.srt.bam.idxstats
Samtools	idxstats	WT_REP2.srt	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2.srt.bam.idxstats
Cutadapt	all_sections	WT_rep2_R2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2_T1.cutadapt.log
Cutadapt	all_sections	KD_rep1_R2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1_T1.cutadapt.log
Cutadapt	all_sections	KD_rep2_R2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2_T0.cutadapt.log
Cutadapt	all_sections	WT_rep1_R2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1_T0.cutadapt.log
FastQC	all_sections	WT_REP2_T0_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2_T0_2_fastqc.zip
FastQC	all_sections	KD_REP1_T0_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1_T0_2_fastqc.zip
FastQC	all_sections	WT_REP2_T1_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2_T1_2_fastqc.zip
FastQC	all_sections	KD_REP1_T1_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1_T1_2_fastqc.zip
FastQC	all_sections	WT_REP1_T0_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1_T0_1_fastqc.zip
FastQC	all_sections	KD_REP2_T0_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2_T0_1_fastqc.zip
FastQC	all_sections	WT_REP1_T1_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1_T1_1_fastqc.zip
FastQC	all_sections	KD_REP2_T1_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2_T1_1_fastqc.zip
FastQC	all_sections	KD_REP2_T1_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2_T1_2_fastqc.zip
FastQC	all_sections	WT_REP1_T1_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1_T1_2_fastqc.zip
FastQC	all_sections	KD_REP2_T0_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP2_T0_2_fastqc.zip
FastQC	all_sections	WT_REP1_T0_2	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP1_T0_2_fastqc.zip
FastQC	all_sections	KD_REP1_T1_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1_T1_1_fastqc.zip
FastQC	all_sections	WT_REP2_T1_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2_T1_1_fastqc.zip
FastQC	all_sections	KD_REP1_T0_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/KD_REP1_T0_1_fastqc.zip
FastQC	all_sections	WT_REP2_T0_1	/Users/ouj/github/new/work/dd/34dbcadd083a5e33a9518c9078d875/WT_REP2_T0_1_fastqc.zip
